,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,流動負債,固定負債,自己資本,減価償却費,営業CF,投資CF,財務CF
2016-03-01,33612.0,20809.0,12803.0,5167.0,7635.0,140.0,7775.0,2629.0,0.0,5145.0,31595.0,24808.0,5270.0,214.0,19323.0,56404.0,,9499.0,1536.0,45367.0,391.0,6531.0,-2687.0,-704.0
2017-03-01,40747.0,25204.0,15543.0,5409.0,10133.0,353.0,10486.0,3283.0,0.0,7203.0,38909.0,27069.0,7062.0,339.0,19667.0,65978.0,,12493.0,1936.0,51549.0,414.0,8531.0,-809.0,-1425.0
2018-03-01,45992.0,28410.0,17581.0,6309.0,11272.0,166.0,11438.0,3590.0,0.0,7847.0,40974.0,35046.0,9301.0,497.0,25247.0,76021.0,,15745.0,2241.0,58034.0,536.0,10132.0,-6607.0,-1940.0
2019-03-01,55701.0,32862.0,22838.0,7097.0,15741.0,356.0,16097.0,4721.0,0.0,11375.0,55015.0,33476.0,9224.0,466.0,23785.0,88491.0,34454.0,18871.0,2416.0,65246.0,752.0,10508.0,-3885.0,-2148.0
2020-03-01,54819.0,31358.0,23461.0,7367.0,16094.0,332.0,16426.0,4988.0,,11437.0,60081.0,33937.0,8935.0,454.0,24547.0,94019.0,39984.0,16701.0,2624.0,73669.0,696.0,10564.0,-1134.0,-3155.0
2021-03-01,51595.0,28655.0,22939.0,7436.0,15503.0,491.0,15994.0,4926.0,,11067.0,64834.0,40643.0,8582.0,527.0,31533.0,105477.0,43041.0,17623.0,2733.0,81894.0,601.0,8050.0,298.0,-2935.0
2022-03-01,57020.0,30327.0,26693.0,8585.0,18107.0,512.0,18619.0,5799.0,,12820.0,92929.0,33953.0,8516.0,633.0,24803.0,126883.0,60149.0,29966.0,871.0,91849.0,602.0,15067.0,-15389.0,-2469.0
2023-03-01,87457.0,46490.0,40966.0,12296.0,28669.0,1122.0,29791.0,8891.0,,20900.0,110702.0,39806.0,8392.0,1184.0,30229.0,150508.0,66909.0,35150.0,855.0,108768.0,603.0,15260.0,-2954.0,-4541.0
2024-03-01,88654.0,51205.0,37449.0,14085.0,23364.0,3343.0,26707.0,7911.0,,18795.0,120455.0,42283.0,8180.0,1321.0,,162739.0,79007.0,28730.0,2295.0,121273.0,790.0,16284.0,-4542.0,-6410.0
2025-03-01,100836.0,52413.0,48422.0,15989.0,32432.0,377.0,32809.0,9185.0,,23623.0,127940.0,63039.0,8558.0,1281.0,,190980.0,82474.0,34035.0,3745.0,138553.0,949.0,27163.0,-5541.0,-6440.0
2026-03-01,88000.0,,,,26000.0,,,,,19100.0,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,
2030-03-01,,,,,,,,,,,,,,,,,,,,,,,,
