,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,営業CF,投資CF,財務CF
2018-03-01,9535.0,5940.0,3595.0,2630.0,965.0,21.0,986.0,262.0,0.0,725.0,3918.0,4255.0,3230.0,76.0,948.0,8174.0,,,,2856.0,2498.0,,214.0,667.0,-347.0,-408.0
2019-03-01,11082.0,6630.0,4452.0,2956.0,1496.0,-26.0,1470.0,447.0,0.0,1022.0,5174.0,4505.0,3306.0,84.0,1114.0,9679.0,,,,3315.0,2536.0,,241.0,1032.0,-340.0,-437.0
2020-03-01,12121.0,7048.0,5072.448,3157.194,1915.0,-110.711,1804.289,517.533,,1286.0,6931.182,4957.815,3630.938,83.281,1243.0,11888.0,1239.764,685.0,66.192,3742.223,2542.487,5604.58,277.416,496.248,-457.277,468.53
2021-03-01,10525.0,6224.0,4300.701,2901.436,1399.0,2.422,1401.422,441.28,,960.0,6737.698,6188.119,4926.252,50.036,1211.0,12925.0,2341.386,838.404,1460.012,2667.527,3872.704,6379.133,295.091,1818.472,-1730.182,1013.331
2022-03-01,10200.0,6256.0,3943.172,2854.667,1088.0,206.42,1294.42,416.879,,877.0,7909.856,7247.525,6138.801,48.235,1060.0,15157.0,2249.627,1318.155,2060.646,3638.455,4545.53,6964.617,296.69,233.6,-1076.1,750.742
2023-03-01,11703.242,7010.0,4692.776,3119.977,1572.798,-146.261,1426.537,389.396,,1037.0,8731.468,8938.564,7671.575,136.161,1130.0,17670.0,1338.085,1953.546,2448.35,4834.875,5080.568,7743.078,373.803,548.267,-2193.632,733.822
2024-03-01,13852.563,,6212.322,3532.907,2679.415,2.544,2681.959,616.447,,2065.0,9964.695,10195.527,8806.434,163.03,,20160.0,1716.096,1717.2,2753.025,5103.047,5407.151,9625.706,447.943,2000.629,-1504.422,-118.196
2025-03-01,16042.155,,7305.399,3629.552,3675.846,-100.97,3574.876,1078.641,,2496.0,10689.494,11500.066,9959.083,156.548,,22189.0,1598.42,832.188,3723.346,4003.03,6422.626,11732.135,588.429,2241.859,-1995.084,-364.449
2026-03-01,16900.0,,,,3780.0,,,,,2615.0,,,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
