,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,のれん償却,営業CF,投資CF,財務CF
2016-03-01,49577.0,32402.0,17175.0,8367.0,8807.0,1132.0,9939.0,3706.0,0.0,6233.0,43496.0,17574.0,10856.0,363.0,6354.0,61070.0,,,,,,48417.0,869.0,,,,
2017-03-01,52077.0,33380.0,18696.0,9143.0,9553.0,1086.0,10639.0,3497.0,0.0,7142.0,47848.0,20915.0,14458.0,321.0,6135.0,68763.0,,,,,,53754.0,931.0,,,,
2018-03-01,56083.0,35614.0,20468.0,9864.0,10603.0,1192.0,11795.0,3951.0,0.0,7844.0,52193.0,21053.0,14913.0,288.0,5852.0,73246.0,,,,,,59378.0,1102.0,,,,
2019-03-01,66969.0,41770.0,25199.0,11672.836,13526.0,1202.892,14728.892,4918.977,0.0,9809.0,61596.79,21586.604,15192.555,266.736,6127.0,83183.0,44220.52,1465.33,1017.372,13281.062,2975.278,66876.088,1046.343,98.343,9657.796,-5638.231,-2473.101
2020-03-01,92307.0,57923.0,34384.0,15214.393,19170.0,925.58,20095.58,6726.114,,13369.0,73764.736,23757.638,16968.782,455.676,6333.0,97522.0,45240.802,1474.101,978.209,16905.694,3113.541,77266.773,1251.411,107.656,6689.944,4423.973,-3093.635
2021-03-01,105815.0,64055.0,41760.0,17804.0,23955.0,1401.0,25356.0,8316.0,,17039.0,85696.0,27179.0,20101.0,769.0,6307.0,112876.0,57813.0,1480.0,847.0,19090.0,3191.0,90225.0,1522.0,172.0,21319.0,-4540.0,-4206.0
2022-03-01,116264.0,70207.0,46056.0,19254.0,26802.0,511.0,27313.0,9010.0,,18303.0,94266.0,30878.0,23949.0,818.0,6110.0,125145.0,64283.0,1487.0,710.0,17897.0,3687.0,102896.0,1833.0,215.0,18451.0,-9631.0,-5350.0
2023-03-01,128289.0,83529.0,44759.0,20652.0,24106.0,549.0,24655.0,7998.0,,16656.0,101390.0,34355.0,27149.0,884.0,6322.0,135746.0,62640.0,1482.0,577.0,17172.0,4337.0,114002.0,2064.0,240.0,8813.0,230.0,-5685.0
2024-03-01,132651.0,,,24087.0,23142.0,494.0,23636.0,7650.0,,15986.0,112648.0,35714.0,28755.0,760.0,,148362.0,68187.0,1469.0,458.0,18334.0,4599.0,124438.0,2433.0,299.0,15228.0,-8999.0,-5681.0
2025-03-01,136933.0,,,26768.0,24394.0,496.0,24890.0,7998.0,,16892.0,121066.0,41164.0,32814.0,1090.0,,162231.0,80381.0,1463.0,344.0,22145.0,4783.0,135781.0,2704.0,303.0,24793.0,-29929.0,-5669.0
2026-03-01,147152.0,,,,26005.0,,,,,18100.0,,,,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
